Designator,Mid X,Mid Y,Rotation,Layer
C1,99.675,-107.875,135.0,bottom
C2,104.725,-114.575,0.0,bottom
C3,118.85625,-106.875,90.0,bottom
C4,116.75625,-106.875001,90.0,bottom
C5,143.475,-116.975,90.0,bottom
C6,114.675,-106.875,90.0,bottom
C7,112.564999,-106.875,90.0,bottom
D1,69.375,-42.06875,90.0,bottom
D10,212.66,-38.85,90.0,bottom
D11,231.71,-38.85,90.0,bottom
D12,250.76,-38.85,90.0,bottom
D13,269.81,-38.85,90.0,bottom
D14,298.385,-38.85,90.0,bottom
D15,326.96,-38.85,90.0,bottom
D16,45.9725,-57.9,90.0,bottom
D17,69.785,-57.9,90.0,bottom
D18,88.835,-57.9,90.0,bottom
D19,107.885,-57.9,90.0,bottom
D2,71.775,-42.06875,90.0,bottom
D20,126.935,-57.9,90.0,bottom
D21,145.985,-57.9,90.0,bottom
D22,165.035,-57.9,90.0,bottom
D23,184.085,-57.9,90.0,bottom
D24,203.135,-57.9,90.0,bottom
D25,222.185,-57.9,90.0,bottom
D26,241.235,-57.9,90.0,bottom
D27,260.285,-57.9,90.0,bottom
D28,279.335,-57.9,90.0,bottom
D29,303.1475,-57.9,90.0,bottom
D3,79.31,-38.85,90.0,bottom
D30,326.96,-57.9,90.0,bottom
D31,48.35375,-76.95,90.0,bottom
D32,74.5475,-76.95,90.0,bottom
D33,93.5975,-76.95,90.0,bottom
D34,112.6475,-76.95,90.0,bottom
D35,131.6975,-76.95,90.0,bottom
D36,150.7475,-76.95,90.0,bottom
D37,169.7975,-76.95,90.0,bottom
D38,188.8475,-76.95,90.0,bottom
D39,207.8975,-76.95,90.0,bottom
D4,98.36,-38.85,90.0,bottom
D40,226.9475,-76.95,90.0,bottom
D41,245.9975,-76.95,90.0,bottom
D42,265.0475,-76.95,90.0,bottom
D43,296.00375,-76.95,90.0,bottom
D44,326.96,-76.95,90.0,bottom
D45,53.11625,-96.0,90.0,bottom
D46,84.0725,-96.0,90.0,bottom
D47,103.1225,-96.0,90.0,bottom
D48,122.1725,-96.0,90.0,bottom
D49,141.2225,-96.0,90.0,bottom
D5,117.41,-38.85,90.0,bottom
D50,160.2725,-96.0,90.0,bottom
D51,179.3225,-96.0,90.0,bottom
D52,198.3725,-96.0,90.0,bottom
D53,217.4225,-96.0,90.0,bottom
D54,236.4725,-96.0,90.0,bottom
D55,255.5225,-96.0,90.0,bottom
D56,281.71625,-96.0,90.0,bottom
D57,307.91,-96.0,90.0,bottom
D58,326.96,-96.0,90.0,bottom
D59,43.59125,-115.05,90.0,bottom
D6,136.46,-38.85,90.0,bottom
D60,67.40375,-115.05,90.0,bottom
D61,91.21625,-115.05,90.0,bottom
D62,162.65375,-115.05,90.0,bottom
D63,231.71,-115.05,90.0,bottom
D64,250.76,-115.05,90.0,bottom
D65,269.81,-115.05,90.0,bottom
D66,288.86,-115.05,90.0,bottom
D67,307.91,-115.05,90.0,bottom
D68,326.96,-115.05,90.0,bottom
